61.185.255.156:9000@HTTP;陕西省西安市 电信
218.108.242.108:3128@HTTP;浙江省杭州市 华数宽带
60.190.129.52:3128@HTTP;浙江省嘉兴市 电信
183.129.177.120:8081@HTTP;浙江省杭州市 电信
119.37.195.59:808@HTTP;浙江省杭州市 世导科技
61.174.9.96:8080@HTTP;浙江省金华市 电信
112.25.34.6:8000@HTTP;江苏省 移动
221.130.18.188:80@HTTP;江苏省南京市 移动
112.25.34.14:81@HTTP;江苏省 移动 itmop.com
122.48.244.124:80@HTTP;湖南省张家界市 中信网络
27.24.158.154:81@HTTP;湖北省 电信
219.150.117.116:9999@HTTP;河南省商丘市 电信
123.183.211.8:80@HTTP;河北省 电信
175.25.243.26:80@HTTP;河北省 华北油田通信有限公司
180.166.50.106:8000@HTTP;上海市 电信
210.57.214.98:3128@HTTP;印度尼西亚
118.26.228.8:5210@HTTP;上海市 铁通
112.25.34.37:81@HTTP;江苏省 移动 itmop.com
119.97.151.151:24809@HTTP;湖北省武汉市 电信
211.142.236.135:80@HTTP;湖南省株洲市 移动
119.97.151.151:33976@HTTP;湖北省武汉市 电信
119.6.73.138:8080@HTTP;四川省成都市 联通
183.62.172.50:9999@HTTP;广东省深圳市 电信
123.232.119.125:80@HTTP;山东省济南市 联通
219.153.65.10:80@HTTP;重庆市 电信IDC机房
183.129.198.90:80@HTTP;浙江省杭州市 电信
120.85.140.123:9000@HTTP;广东省广州市 联通
219.159.198.8:9999@HTTP;广西北海市 海洋之窗
61.54.226.217:9000@HTTP;河南省安阳市 联通ADSL
119.97.151.151:13789@HTTP;湖北省武汉市 电信
218.104.148.157:8080@HTTP;湖南省长沙市 联通
219.136.231.6:9999@HTTP;广东省广州市 南沙大冲大宇网吧
91.241.21.10:8080@HTTP;欧洲和中东地区
221.130.162.242:84@HTTP;安徽省 移动(全省通用)
27.24.158.153:80@HTTP;湖北省 电信 itmop.com
190.214.48.126:3128@HTTP;厄瓜多尔
221.10.40.238:81@HTTP;四川省绵阳市 西南科技大学新区
120.192.86.243:81@HTTP;山东省 移动
221.130.23.8:80@HTTP;江苏省南京市 移动
221.130.18.82:8080@HTTP;江苏省南京市 移动
60.191.35.42:81@HTTP;浙江省杭州市 电信
